386 1199
0 55 11.61981582
55 0 10.65062598	
1 55 12.69201805
2 3 10.03063379
3 2 11.04484083
3 4 14.35271814
4 3 13.72030424
4 5 10.07554013
0 12 11.44361448
12 23 11.58425229
55 11 10.63821382
1 13 14.71222966
2 14 12.21702378
3 15 12.33261751
4 16 10.48868133
55 1 14.61464183
2 1 10.0432955
1 2 11.98286442
5 4 11.73096414
6 5 12.09069749
5 6 11.98344405
5 17 13.93654554
6 7 10.60508933
6 18 10.9093864
7 6 10.02709442
18 6 14.23503397
17 5 13.0323546
16 4 10.11875502
15 3 11.24095787
14 2 14.07952343
13 1 10.99554607
11 55 12.48442163
12 0 11.10821443
7 19 11.06998307
7 8 14.28002968
8 7 14.15935382
8 20 11.26724743
9 8 12.30198021
8 9 11.59218134
9 21 13.15343104
21 9 14.5521415
9 10 14.83282631
10 9 13.01886658
10 53 13.53892014
10 22 10.59838833
53 10 11.63674585
22 10 12.19161174
19 7 10.23414889
20 8 11.16298201
53 54 14.35648129
54 53 12.49325722
22 34 13.09218254
22 21 12.22966644
21 33 11.91827863
21 20 14.55944993
20 32 12.82718396
20 19 11.90480041
20 21 13.28080021
21 22 10.12891491
19 20 14.69665099
19 31 13.38011894
19 18 14.79741128
18 19 14.21023976
18 30 10.6569192
18 17 12.48021732
17 18 13.91545522
17 29 10.34882373
17 16 12.25477362
16 17 12.77754899
16 28 12.61862472
16 15 10.42217009
15 16 14.43946909
15 27 10.26549974
15 14 13.28312972
14 15 12.60350459
14 26 12.77953898
14 13 14.24910443
13 14 11.31039618
13 25 14.66465337
13 11 13.59910384
11 13 13.08871022
11 24 14.64452586
11 12 13.01931862
12 11 13.73600992
23 12 14.80036305
23 24 12.53711828
23 35 13.44630925
24 11 12.34348728
24 37 13.30987241
24 23 10.74963492
24 25 10.63048914
25 38 10.60076525
25 26 10.67630938
25 13 13.44059942
26 14 11.1783654
27 15 12.98688154
28 16 13.91275069
29 17 11.84399706
30 18 10.70631969
31 19 13.38910042
32 20 11.64432601
33 21 12.17621836
34 22 10.16030669
34 33 13.33318318
33 34 12.17507489
33 32 12.15651983
32 33 10.21037765
32 31 12.54539305
31 32 13.5522411
31 30 14.90386721
30 31 13.73745087
30 29 11.65206519
29 30 10.38425907
29 28 14.36661735
28 29 14.39022508
28 27 13.99688159
27 28 14.24388196
27 26 10.06269682
26 27 12.89953597
26 25 14.34450672
25 24 10.53508841
34 47 13.70627936
33 46 12.28587219
32 45 14.9198049
31 44 12.60333869
30 43 10.06656801
29 42 11.76320573
28 40 12.53314862
27 41 10.01405872
26 39 14.68634245
35 23 10.22457988
37 24 13.56581074
38 25 11.11518476
39 26 12.07857141
41 27 14.59422224
40 28 13.30600003
42 29 11.21763193
43 30 12.7977036
44 31 10.9793663
45 32 13.27555895
46 33 11.57838859
47 34 14.136346
47 49 14.99588065
47 46 11.76702624
46 49 11.83325669
46 45 13.84202448
45 50 13.26158259
45 44 11.35626334
44 43 13.53707024
44 51 14.73287444
43 42 11.75459874
43 52 14.61299522
42 40 13.84206933
40 41 12.35209266
41 39 10.88798373
39 38 13.29273083
38 37 13.29764586
37 35 10.16594148
35 36 14.25124856
36 35 14.31209782
35 37 14.57153817
37 38 12.84303167
38 39 12.77375261
39 41 13.44513369
41 40 13.02687693
40 42 10.47008482
42 43 13.43725001
43 44 14.65964073
44 45 13.5881996
45 46 12.3032917
46 47 11.33534255
49 46 13.88735305
49 47 14.27674524
49 50 14.58686812
50 49 11.11612323
50 51 11.87006039
50 45 13.22099673
51 50 11.70112711
51 44 11.58539625
51 52 10.75805946
52 51 13.66412489
52 43 10.39594183
56 52 10.26506157
52 56 13.90244883
56 57 10.35417423
57 56 11.39523272
57 58 10.78007771
58 59 14.09520915
59 60 10.2556273
60 61 14.18344661
61 62 12.28275005
62 63 13.77373072
63 36 13.72890663
36 63 13.42878968
63 62 12.31676428
62 61 10.20074316
61 60 11.70975712
60 59 12.2084646
59 58 13.17479248
58 57 14.07076368
58 40 14.48220972
40 58 14.28041372
57 42 12.77685527
42 57 14.38133922
59 41 12.84216439
41 59 12.31540266
60 39 14.76041831
39 60 11.50963389
61 38 10.56698033
38 61 12.57277011
62 37 11.9080929
37 62 10.87509371
63 64 14.54459026
64 63 12.9059128
63 65 12.77118943
65 63 10.24944425
64 65 10.85127674
65 64 12.62505888
65 67 12.79676983
64 66 12.9029876
66 67 13.71199007
67 65 11.09032232
67 66 11.25135235
66 64 11.54486169
71 66 13.72824466
71 70 14.31939371
66 71 14.06638189
70 71 13.82422422
70 69 14.53983626
69 70 10.31728301
70 72 12.51255299
72 73 13.47974769
73 72 11.72844573
72 70 13.65869289
69 68 12.53460761
68 67 10.64478382
67 68 10.7988053
68 69 13.25159463
68 83 14.07998904
83 68 13.20802122
72 75 14.08234008
75 72 10.21859554
75 74 10.15949339
74 75 10.19101211
74 71 12.16293289
71 74 12.52710217
69 76 11.0464708
76 69 10.61885736
77 76 13.74088112
76 75 11.94597634
75 76 10.26309877
76 77 11.29008614
77 68 12.140229
77 78 14.14379048
78 77 12.95138652
78 83 11.09549987
83 78 12.80286346
68 77 12.05652791
78 79 14.25231191
79 78 12.83092094
79 84 14.49633299
79 80 12.18008104
80 79 13.97345004
80 85 10.38185842
80 81 12.26323273
81 80 12.24220839
81 59 10.86254483
81 82 12.17302478
82 81 13.71376901
82 58 14.95828403
82 86 14.63061764
86 82 14.99325585
86 56 10.52788085
56 86 13.95895104
58 82 12.58130304
59 81 10.25672001
60 85 13.82105489
85 60 11.55238279
85 80 12.10155571
85 84 12.89199372
84 85 10.35092407
84 83 12.671696
83 84 13.28524871
84 79 11.48910945
84 61 12.26279682
61 84 14.45769317
62 83 14.30895395
83 62 14.1733752
56 87 10.56333693
87 56 12.16588221
47 48 11.1846525
48 47 10.55158162
87 90 10.59221506
90 87 11.0573906
90 91 12.09133103
91 90 10.15995686
91 92 14.72036885
92 91 11.99252931
92 93 11.84198215
93 92 14.34226688
93 94 13.13136828
94 93 10.25767968
384 94 13.31986965
94 384 14.7778959
93 48 13.75858004
48 93 11.6741564
48 384 13.21789151
384 48 14.25495946
384 89 13.484567
89 384 12.27115824
89 88 13.26704753
88 89 11.41169108
88 48 10.55197391
48 88 12.4706501
88 95 10.93086429
95 88 12.72708088
95 98 11.92638783
98 95 14.56343849
89 97 14.94416346
97 89 10.42708031
97 98 10.81256576
98 97 14.1925789
98 99 14.92455392
99 98 11.20621873
99 96 12.80684446
96 99 12.05588832
96 95 12.74907989
95 96 11.66016906
99 100 14.3802079
100 99 11.57503617
99 54 11.30256301
54 99 14.88380466
94 101 10.94417293
101 94 12.52552631
101 105 10.89323848
105 101 12.10860568
105 104 14.66400718
104 105 11.64805012
104 102 13.29884099
102 104 12.92543862
102 383 10.43947077
101 102 12.14005149
383 103 10.76661231
103 383 10.31504457
103 104 11.70399329
103 97 13.46643513
97 103 12.35148094
383 97 11.25530492
97 383 14.41064459
111 99 10.57689202
108 116 10.05941868
116 109 14.41325627
109 110 13.43475804
110 111 10.24419955
54 106 14.86270587
106 54 14.20621381
108 106 11.81602745
106 108 12.93885222
106 107 14.77425208
107 106 10.8914021
115 114 12.77856355
115 117 12.9752746
114 109 12.48191634
114 124 11.19883644
114 113 12.91940104
114 115 11.73896
124 123 14.01785492
124 125 14.83652936
124 114 12.88144901
123 124 13.90565133
123 118 12.54315565
118 123 12.19750896
125 124 10.55817146
125 126 11.40145384
125 113 14.88583485
113 125 14.50191536
126 125 10.31693022
126 112 12.9124729
112 126 12.4187656
126 127 11.04801536
127 126 10.18925375
127 112 10.53066133
112 127 11.43814846
112 111 11.07794483
111 112 14.06018947
112 113 12.67303417
113 112 10.15210431
113 110 10.08344698
110 113 11.0590741
113 114 13.15342417
109 114 10.29820413
118 117 13.27651865
117 118 14.70709957
118 119 11.92500522
119 118 14.44832577
119 120 13.80989534
120 119 13.74573534
120 117 12.33922165
117 120 14.97004134
120 121 13.58646367
121 120 13.63692291
128 116 12.30921032
116 128 12.35814669
128 115 11.00887896
115 128 14.34737372
128 122 13.21412821
122 128 11.38277736
122 121 11.84041836
121 122 14.72039724
115 121 13.51730497
121 115 11.76632331
100 127 10.20242192
127 100 13.50137009
122 129 12.82548253
129 122 10.40877633
129 130 13.03461938
130 129 10.76894878
